number,raw_title,link,repo_name,repo_url,created_at,updated_at,closed_at,pull_request,filter,title,repository
20,Tidy up some of the extra stuff,https://github.com/sgibson91/cross-stitch-carpentry/issues/20,sgibson91/cross-stitch-carpentry,https://github.com/sgibson91/cross-stitch-carpentry,2020-03-13T15:09:54Z,2021-11-11T20:25:52Z,,False,assigned,"<a href=""https://github.com/sgibson91/cross-stitch-carpentry/issues/20"" rel=""noopener noreferrer"" target=""_blank"">Tidy up some of the extra stuff</a>","<a href=""https://github.com/sgibson91/cross-stitch-carpentry"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/cross-stitch-carpentry</a>"
244,Blog post: Pangeo hub deployment,https://github.com/2i2c-org/team-compass/issues/244,2i2c-org/team-compass,https://github.com/2i2c-org/team-compass,2021-09-13T18:07:59Z,2021-10-29T12:51:37Z,,False,assigned,"<a href=""https://github.com/2i2c-org/team-compass/issues/244"" rel=""noopener noreferrer"" target=""_blank"">Blog post: Pangeo hub deployment</a>","<a href=""https://github.com/2i2c-org/team-compass"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/team-compass</a>"
575,Support multiple backends for SOPS,https://github.com/2i2c-org/infrastructure/issues/575,2i2c-org/infrastructure,https://github.com/2i2c-org/infrastructure,2021-08-03T14:20:51Z,2021-08-11T09:26:19Z,,False,assigned,"<a href=""https://github.com/2i2c-org/infrastructure/issues/575"" rel=""noopener noreferrer"" target=""_blank"">Support multiple backends for SOPS</a>","<a href=""https://github.com/2i2c-org/infrastructure"" rel=""noopener noreferrer"" target=""_blank"">2i2c-org/infrastructure</a>"
28,Create a gh-pages branch,https://github.com/martinagvilas/tutorial-jupyterbook-with-turing-way/issues/28,martinagvilas/tutorial-jupyterbook-with-turing-way,https://github.com/martinagvilas/tutorial-jupyterbook-with-turing-way,2020-09-21T09:03:46Z,2020-09-21T09:04:30Z,,False,assigned,"<a href=""https://github.com/martinagvilas/tutorial-jupyterbook-with-turing-way/issues/28"" rel=""noopener noreferrer"" target=""_blank"">Create a gh-pages branch</a>","<a href=""https://github.com/martinagvilas/tutorial-jupyterbook-with-turing-way"" rel=""noopener noreferrer"" target=""_blank"">martinagvilas/tutorial-jupyterbook-with-turing-way</a>"
1850,Move Binder tutorial into the Comms Guide,https://github.com/alan-turing-institute/the-turing-way/pull/1850,alan-turing-institute/the-turing-way,https://github.com/alan-turing-institute/the-turing-way,2021-04-14T08:14:20Z,2022-01-10T16:54:53Z,,True,assigned,"<a href=""https://github.com/alan-turing-institute/the-turing-way/pull/1850"" rel=""noopener noreferrer"" target=""_blank"">Move Binder tutorial into the Comms Guide</a>","<a href=""https://github.com/alan-turing-institute/the-turing-way"" rel=""noopener noreferrer"" target=""_blank"">alan-turing-institute/the-turing-way</a>"
112,Create speaker rider and pricing matrix,https://github.com/sgibson91/sgibson91.github.io/pull/112,sgibson91/sgibson91.github.io,https://github.com/sgibson91/sgibson91.github.io,2021-12-28T19:13:44Z,2022-01-05T21:58:53Z,,True,assigned,"<a href=""https://github.com/sgibson91/sgibson91.github.io/pull/112"" rel=""noopener noreferrer"" target=""_blank"">Create speaker rider and pricing matrix</a>","<a href=""https://github.com/sgibson91/sgibson91.github.io"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/sgibson91.github.io</a>"
34,Add abstract for Collaborations Workshop 2022 mini-workshop,https://github.com/sgibson91/ssi-fellowship/pull/34,sgibson91/ssi-fellowship,https://github.com/sgibson91/ssi-fellowship,2021-12-14T11:41:40Z,2021-12-14T15:43:29Z,,True,assigned,"<a href=""https://github.com/sgibson91/ssi-fellowship/pull/34"" rel=""noopener noreferrer"" target=""_blank"">Add abstract for Collaborations Workshop 2022 mini-workshop</a>","<a href=""https://github.com/sgibson91/ssi-fellowship"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/ssi-fellowship</a>"
18,Add minor clarifications to the lesson,https://github.com/sgibson91/blogging-with-hugo-and-github-pages/pull/18,sgibson91/blogging-with-hugo-and-github-pages,https://github.com/sgibson91/blogging-with-hugo-and-github-pages,2021-11-14T10:33:50Z,2021-11-14T10:37:44Z,,True,assigned,"<a href=""https://github.com/sgibson91/blogging-with-hugo-and-github-pages/pull/18"" rel=""noopener noreferrer"" target=""_blank"">Add minor clarifications to the lesson</a>","<a href=""https://github.com/sgibson91/blogging-with-hugo-and-github-pages"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/blogging-with-hugo-and-github-pages</a>"
480,Hubs Team Meeting - January 2022,https://github.com/jupyterhub/team-compass/issues/480,jupyterhub/team-compass,https://github.com/jupyterhub/team-compass,2021-12-17T11:50:43Z,2022-01-10T22:41:58Z,,False,created,"<a href=""https://github.com/jupyterhub/team-compass/issues/480"" rel=""noopener noreferrer"" target=""_blank"">Hubs Team Meeting - January 2022</a>","<a href=""https://github.com/jupyterhub/team-compass"" rel=""noopener noreferrer"" target=""_blank"">jupyterhub/team-compass</a>"
8,How to pass args to a specific matrix job in a reusable workflow?,https://github.com/sgibson91/.github/issues/8,sgibson91/.github,https://github.com/sgibson91/.github,2022-01-10T14:27:50Z,2022-01-10T15:14:13Z,,False,created,"<a href=""https://github.com/sgibson91/.github/issues/8"" rel=""noopener noreferrer"" target=""_blank"">How to pass args to a specific matrix job in a reusable workflow?</a>","<a href=""https://github.com/sgibson91/.github"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/.github</a>"
